Title,uidd,country
مدرسة الأمل الثانوية المختلطة للصم,1525,الأردن
جمعية الجنوب للتربية الخاصة,1526,الأردن
جمعية الطيبة الجنوبية لذوي الإحتياجات الخاصة /البتراء,1527,الأردن
جمعية مهارات لرعاية وتأهيل ذوي الإعاقة,1528,الأردن
مركز المنار للتنمية الفكرية /أذرح,1529,الأردن
جمعية الأمل الخيرية /جرش,1530,الأردن
جمعية أم الزيتون الخيرية,1531,الأردن
جمعية جرش لرعاية ذوي الإحتياجات الخاصة,1532,الأردن
جمعية قفقفا للتنمية الاجتماعية,1533,الأردن
مركز التأهيل المجتمعي للأشخاص ذوي الإعاقة,1534,الأردن
مركز نور الحياة للتربية الخاصة,1535,الأردن
جمعية أم القطين لذوي الإحتياجات الخاصة,1536,الأردن
مركز سيدة السلام لذوي الإحتياجات الخاصة,1537,الأردن
جمعية أجيال الخيرية,1538,الأردن
جمعية البادية الجنوبية للتربية الخاصة,1539,الأردن
مركز المنار للتنمية الفكرية / العقبة,1540,الأردن
جمعية الثغر لرعاية المعوقين,1541,الأردن
جمعية مؤسسة العناية بالشلل الدماغي,1542,الأردن
جمعية بصيرا الخيرية,1543,الأردن
مدرسة عبد الرحمن بن عوف للتربية الخاصة,1544,الأردن
مركز الجود للتربية الخاصة,1545,الأردن
جمعية اللورنس لذوي الإعاقة,1546,الأردن
جمعية السرى لحقوق الأشخاص ذوي الإعاقة,1547,الأردن
جمعية الشهيد عمر المجالي للتبرع بالقرنيات والأعضاء,1548,الأردن
جمعية نغم الحياة الخيرية,1549,الأردن
جمعية المدينة المنورة لرعاية ذوي الإحتياجات الخاصة وأسرهم الخيرية,1550,الأردن
مركز الكرك للرعاية والتأهيل,1551,الأردن
مركز القطرانة للتربية الخاصة,1552,الأردن
جمعية غور الصافي للتنمية الإجتماعية,1553,الأردن
مركز مؤاب لذوي الإحتياجات الخاصة,1554,الأردن
جمعية سيدات غور الصافي للتنمية الإجتماعية,1555,الأردن
مركز الكرك للشلل الدماغي,1556,الأردن
جمعية الكرك لرعاية ذوي الإعاقات الحركية,1557,الأردن
جمعية البتراء للتربية الخاصة,1558,الأردن
جمعية الشراه الجنوبية للتربية الخاصة,1559,الأردن
جمعية الشوبك لرعاية الأيتام وذوي الإحتياجات الخاصة الخيرية,1560,الأردن
جمعية الحسينية لرعاية وتأهيل المعاقين,1561,الأردن
جمعية الراجف للتربية الخاصة,1562,الأردن
مركز الكورة الشامل للتربية الخاصة,1563,الأردن
الجمعية الهاشمية لرعاية وتأهيل المعاقين,1564,الأردن
